department,dep_id,municipality,mun_id,school_id,school_name,lat,long,address,program_ids,program_labels,program_labels_1,program_labels_2,program_labels_3,program_labels_4,program_labels_5,program_labels_6,modality_ids,modality_labels,modality_labels_1,modality_labels_2,modality_labels_3,modality_labels_4,modality_labels_5,modality_labels_6,modality_labels_7,modality_labels_8,modality_labels_9,modality_labels_10
Boaco,11,Boaco,100,4216,SAN JOSÉ,12.597189,-85.662855,EL BEJUCO.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,14,PRIMARIA MULTIGRADO,PRIMARIA MULTIGRADO,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boaco,11,Boaco,100,4320,ARMIDA BRAVO,12.53024,-85.66192,BUENA VISTA.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1014,"PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO",PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO,NA,NA,NA,NA,NA,NA,NA,NA
Boaco,11,Boaco,100,4327,PREESCOLAR LOS VALLES,12.58205,-85.65926,CASERIO DE LOS VALLES.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1014,"PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO",PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO,NA,NA,NA,NA,NA,NA,NA,NA
Boaco,11,Boaco,100,4328,C.D.I DIVINO NIÑO JESÚS (OSCAR DÍAZ),12.4696,-85.6624,SILAIS 1 ½ C. AL ESTE ½ AL SUR.,NA,NA,NA,NA,NA,NA,NA,NA,2,PREESCOLAR FORMAL,PREESCOLAR FORMAL,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boaco,11,Boaco,100,4329,CENTRO ESCOLAR JULIA GARCIA LARGAESPADA,12.47261,-85.65488,BARRIO TIERRA BLANCA.,262,"PRIMARIA,CEDA,PRIMARIA",PRIMARIA,CEDA,PRIMARIA,NA,NA,NA,2651231,"PREESCOLAR FORMAL,Primaria Comunitaria JYA,PRIMARIA ACELERADA(CEDA),PRIMARIA REGULAR,PREESCOLAR COMUNITARIO",PREESCOLAR FORMAL,Primaria Comunitaria JYA,PRIMARIA ACELERADA(CEDA),PRIMARIA REGULAR,PREESCOLAR COMUNITARIO,NA,NA,NA,NA,NA
Boaco,11,Boaco,100,4330,CENTRO ESCOLAR SAN MIGUEL,12.47596,-85.66053,DE LA KODAK  3 C. AL NORTE ½ AL ESTE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,111071093,"PREESCOLAR FORMAL MULTINIVEL,III CICLO,IV CICLO,PRIMARIA REGULAR",PREESCOLAR FORMAL MULTINIVEL,III CICLO,IV CICLO,PRIMARIA REGULAR,NA,NA,NA,NA,NA,NA
Boaco,11,Boaco,100,4331,INSTITUTO NACIONAL PUBLICO DE BOACO ROSA CERDA AMADOR,12.47523,-85.64602,CARRETERA  AL ATLANTICO FTE. A CERVECERIA VICTORIA.,3,SECUNDARIA,SECUNDARIA,NA,NA,NA,NA,NA,5,SECUNDARIA REGULAR,SECUNDARIA REGULAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boaco,11,Boaco,100,4332,CENTRO ESCOLAR ANGELITA ROBLETO BARQUERO.,12.467408,-85.66105,DETRÁS DEL HOSPITAL JOSE NIEWROSKI.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,113,"PREESCOLAR FORMAL MULTINIVEL,PRIMARIA REGULAR",PREESCOLAR FORMAL MULTINIVEL,PRIMARIA REGULAR,NA,NA,NA,NA,NA,NA,NA,NA
Boaco,11,Boaco,100,4333,CENTRO ESCOLAR JUANA SOLBALVARRO,12.46953,-85.65738,COSTADO NORTE DEL MERCADO MUNICIPAL.,272,"PRIMARIA,ALFABETIZACION,PRIMARIA",PRIMARIA,ALFABETIZACION,PRIMARIA,NA,NA,NA,652633,"Primaria Comunitaria JYA,PREESCOLAR FORMAL,ALFABETIZACION,PRIMARIA REGULAR",Primaria Comunitaria JYA,PREESCOLAR FORMAL,ALFABETIZACION,PRIMARIA REGULAR,NA,NA,NA,NA,NA,NA
Boaco,11,Boaco,100,4334,CENTRO ESCOLAR EMILIO SOBALVARRO SUAREZ.,12.4714,-85.66042,CRUZ ROJA UNA CUADRA AL OESTE.,23,"PRIMARIA,SECUNDARIA",PRIMARIA,SECUNDARIA,NA,NA,NA,NA,311311,"PRIMARIA REGULAR,PREESCOLAR COMUNITARIO,SECUNDARIA POR ENCUENTRO,PREESCOLAR FORMAL MULTINIVEL",PRIMARIA REGULAR,PREESCOLAR COMUNITARIO,SECUNDARIA POR ENCUENTRO,PREESCOLAR FORMAL MULTINIVEL,NA,NA,NA,NA,NA,NA
