Nombre,school_id,Latitud,Longitud,Direccion,modality_labels,modality_ids,program_ids,program_labels,department,municipality,dep_id,mun_id
CENTRO ESCOLAR CONCEPCIÒN DE MARIA.,4348,12.47212000,-85.53586000,DEL CENTRO ROBERTO GUILLEN B. 3 KMS AL OESTE.,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL","14,10",2,PRIMARIA,Boaco,Boaco,11,100
CENTRO ESCOLAR SALVADORA CASTILLO.,4349,12.49103000,-85.50375000,DE LA CAPILLA SANTA MARIA LA REYNA 300 MTS AL ESTE.,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL","14,10",2,PRIMARIA,Boaco,Boaco,11,100
CENTRO ESCOLAR CRISTO REY.,4350,12.61028300,-85.54089100,A 35 KM. FUERA DE BOACO CARRETERA A RIO BLANCO.,"PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO,PRIMARIA REGULAR","10,14,3","2,2","PRIMARIA,PRIMARIA",Boaco,Boaco,11,100
CENTRO ESCOLAR SANTA TERESA.,4351,12.61028300,-85.54089100,KILOMETRO 25 CARRETERA A RIO BLANCO.,"SECUNDARIA POR ENCUENTRO,PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO","13,10,14","3,2","SECUNDARIA,PRIMARIA",Boaco,Boaco,11,100
SAN MIGUEL DE SACAL,4352,12.51852000,-85.57665000,15 KM. CARRETERA A RIO BLANCO.,"SECUNDARIA REGULAR,PREESCOLAR COMUNITARIO MULTINIVEL,SECUNDARIA EN EL CAMPO,PRIMARIA MULTIGRADO","5,10,30,14","3,3,2","SECUNDARIA,SECUNDARIA,PRIMARIA",Boaco,Boaco,11,100
CENTRO ESCOLAR SAN FRANCISCO DE AZIS,4353,12.65680000,-85.57153000,COMUNIDAD DE WIWAS Nº 1.,PRIMARIA MULTIGRADO,14,2,PRIMARIA,Boaco,Boaco,11,100
CENTRO ESCOLAR RAFAELA HERRERA.,4354,12.52388000,-85.52262000,24 KM AL ESTE.,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL,III CICLO","14,10,107",2,PRIMARIA,Boaco,Boaco,11,100
SANTA ROSA DE SACAL,4355,12.51381200,-85.55565300,SANTA ROSA SACAL A 20 KM..,"PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO","10,14",2,PRIMARIA,Boaco,Boaco,11,100
SAN JOSE DE SACAL,4356,12.62827000,-85.52131000,SANTA ROSA DE SACAL A 20 KM..,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL","14,10",2,PRIMARIA,Boaco,Boaco,11,100
CENTRO ESCOLAR SAN JERÓNIMO.,4357,12.49820000,-85.53876000,HACIENDA LOS LAURELES.,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL","14,10",2,PRIMARIA,Boaco,Boaco,11,100
