Nombre,Latitud,Longitud,Direccion,Modalidades,department,municipality,dep_id,mun_id
SAN MIGUEL DE SACAL,12.51852000,-85.57665000,15 KM. CARRETERA A RIO BLANCO.,"SECUNDARIA REGULAR, PREESCOLAR COMUNITARIO MULTINIVEL, SECUNDARIA EN EL CAMPO, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
CENTRO ESCOLAR SAN FRANCISCO DE AZIS,12.65680000,-85.57153000,COMUNIDAD DE WIWAS Nº 1.,PRIMARIA MULTIGRADO,Boaco,Boaco,11,100
CENTRO ESCOLAR RAFAELA HERRERA.,12.52388000,-85.52262000,24 KM AL ESTE.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL, III CICLO",Boaco,Boaco,11,100
SANTA ROSA DE SACAL,12.51381200,-85.55565300,SANTA ROSA SACAL A 20 KM..,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
SAN JOSE DE SACAL,12.62827000,-85.52131000,SANTA ROSA DE SACAL A 20 KM..,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR SAN JERÓNIMO.,12.49820000,-85.53876000,HACIENDA LOS LAURELES.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR PEDRO JOAQUIN CHAMORRO.,12.49930000,-85.51414000,CUADRO DE BASSEBALL 25 VRS. AL SUR.,"PREESCOLAR COMUNITARIO MULTINIVEL, SECUNDARIA POR ENCUENTRO, PRIMARIA REGULAR, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
CENTRO ESCOLAR VICTORIA MOLINA TINOCO.,12.51078000,-85.49573000,COOP. ARGELIA 2 KM. AL ESTE.,"PREESCOLAR COMUNITARIO MULTINIVEL, III CICLO, ALFABETIZACION, PRIMARIA REGULAR, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
CENTRO ESCOLAR DR. JAIME INCER BARQUERO.,12.57573000,-85.50175000,CARRETERA A LAS MERCEDES.,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
SAN ISIDRO,12.55529000,-85.49109000,SAN ISIDRO.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
SAN ANDRES ALTO,12.56237000,-85.57460000,5  KMS. ALNORTE DE LA COMUNIDAD EL PARAISO.,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
CENTRO ESCOLAR EDGAR SANTA MARIA.,12.59505000,-85.60890000,CARRETERA A KUMAICA SUR KILOMETRO 20.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR SAN JOSE DE BAGUAS,12.60037800,-85.49390000,CARRETERA A  LA VEGA.,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
CENTRO ESCOLAR EMILIO VILLATORO OBANDO.,12.68639000,-85.29427000,SAN JOSE DE LA VEGA.,"III CICLO, PREESCOLAR COMUNITARIO MULTINIVEL, IV CICLO, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
CENTRO ESCOLAR 15 DE SEPTIEMBRE.,12.63638000,-85.47416000,CARRETERA QUE CONDUCE A LA VEGA.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR JOSÉ DOLORES ESTRADA.,12.61974600,-85.50277800,COMUNIDAD BAGUAS ENTRADA EL PORTILLO.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR JESUS DE NAZARETH.,12.64049100,-85.43734100,SANTA ELISA.,"PRIMARIA MULTIGRADO, SECUNDARIA POR ENCUENTRO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR GALA DEL SOCORRO LOPEZ.,12.60117600,-85.39496000,LAS BRISAS CARRETERA A LA VEGA.,"PREESCOLAR COMUNITARIO MULTINIVEL, SECUNDARIA POR ENCUENTRO, ALFABETIZACION, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
CENTRO ESCOLAR EVARISTO GARCIA MONTANO.,12.66777500,-85.31603300,CARRETERA A SAN JOSE DE LA VEGA.,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
CENTRO ESCOLAR SAN JUAN.,12.69247000,-85.45506000,TABACAL SUR.,PRIMARIA MULTIGRADO,Boaco,Boaco,11,100
CENTRO ESCOLAR TABACAL NORTE MIGUEL LARREYNAGA,12.70672000,-85.40733000,TABACAL SAN PABLO.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR ENMANUEL MONGALO.,12.59138600,-85.37707100,CARRETERA LA VEGA EMPALME EL CONGO.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
SAN NICOLAS,12.48924000,-85.65303000,CARRETERA A SAN BUENA VENTURA.,"III CICLO, PRIMARIA REGULAR, IV CICLO, PREESCOLAR FORMAL MULTINIVEL, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
CENTRO ESCOLAR ANDRÉS GONZÁLES CASTILLO.,12.60148000,-85.64371000,CAPITAN Nº 1.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
SAN JUAN BAUTISTA,12.50198000,-85.63956000,FTE. A LA BASE MILITAR.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
TASWA SAN RAMON,12.57587000,-85.63613000,TIENDA CAMPESINA 5 C. AL OESTE.,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
CENTRO ESCOLAR SANTA SOFIA.,12.60968000,-85.59299000,COMARCA TASWA #2.,"PREESCOLAR COMUNITARIO, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
CENTRO ESCOLAR OLIVIA SOMOZA,12.53566000,-85.62746000,FTE. A CASA DE BAYARDO ROBLETO.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL, SECUNDARIA EN EL CAMPO",Boaco,Boaco,11,100
CENTRO ESCOLAR JESUS DE LAS BUENAS ESPERANZA.,12.62053000,-85.63028300,CARRETERA A CUMAICA SUR.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR LETICIA SOTELO CORONADO.,12.51834200,-85.65279400,COMARCA SAGUATEPE.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR MONSEÑOR RAFAEL OBREGÒN.,12.51792000,-85.61118000,BASE MILITAR 4 KM. AL ESTE.,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
CENTRO ESCOLAR SAN JORGE.,12.52273000,-85.60789000,ENTRADA AL BALSAMO KM 13½ SAN BUENAVENTURA.,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
