department,municipality,dep_id,mun_id,Nombre,Direccion,Latitud,Longitud,Modalidades
Boaco,Boaco,11,100,CENTRO ESCOLAR SANTA TERESA.,KILOMETRO 25 CARRETERA A RIO BLANCO.,12.61028300,-85.54089100,"SECUNDARIA POR ENCUENTRO, PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,SAN MIGUEL DE SACAL,15 KM. CARRETERA A RIO BLANCO.,12.51852000,-85.57665000,"SECUNDARIA REGULAR, PREESCOLAR COMUNITARIO MULTINIVEL, SECUNDARIA EN EL CAMPO, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,CENTRO ESCOLAR SAN FRANCISCO DE AZIS,COMUNIDAD DE WIWAS Nº 1.,12.65680000,-85.57153000,PRIMARIA MULTIGRADO
Boaco,Boaco,11,100,CENTRO ESCOLAR RAFAELA HERRERA.,24 KM AL ESTE.,12.52388000,-85.52262000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL, III CICLO"
Boaco,Boaco,11,100,SANTA ROSA DE SACAL,SANTA ROSA SACAL A 20 KM..,12.51381200,-85.55565300,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,SAN JOSE DE SACAL,SANTA ROSA DE SACAL A 20 KM..,12.62827000,-85.52131000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR SAN JERÓNIMO.,HACIENDA LOS LAURELES.,12.49820000,-85.53876000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR PEDRO JOAQUIN CHAMORRO.,CUADRO DE BASSEBALL 25 VRS. AL SUR.,12.49930000,-85.51414000,"PREESCOLAR COMUNITARIO MULTINIVEL, SECUNDARIA POR ENCUENTRO, PRIMARIA REGULAR, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,CENTRO ESCOLAR VICTORIA MOLINA TINOCO.,COOP. ARGELIA 2 KM. AL ESTE.,12.51078000,-85.49573000,"PREESCOLAR COMUNITARIO MULTINIVEL, III CICLO, ALFABETIZACION, PRIMARIA REGULAR, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,CENTRO ESCOLAR DR. JAIME INCER BARQUERO.,CARRETERA A LAS MERCEDES.,12.57573000,-85.50175000,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,SAN ISIDRO,SAN ISIDRO.,12.55529000,-85.49109000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,SAN ANDRES ALTO,5  KMS. ALNORTE DE LA COMUNIDAD EL PARAISO.,12.56237000,-85.57460000,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,CENTRO ESCOLAR EDGAR SANTA MARIA.,CARRETERA A KUMAICA SUR KILOMETRO 20.,12.59505000,-85.60890000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR SAN JOSE DE BAGUAS,CARRETERA A  LA VEGA.,12.60037800,-85.49390000,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,CENTRO ESCOLAR EMILIO VILLATORO OBANDO.,SAN JOSE DE LA VEGA.,12.68639000,-85.29427000,"III CICLO, PREESCOLAR COMUNITARIO MULTINIVEL, IV CICLO, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,CENTRO ESCOLAR 15 DE SEPTIEMBRE.,CARRETERA QUE CONDUCE A LA VEGA.,12.63638000,-85.47416000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR JOSÉ DOLORES ESTRADA.,COMUNIDAD BAGUAS ENTRADA EL PORTILLO.,12.61974600,-85.50277800,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR JESUS DE NAZARETH.,SANTA ELISA.,12.64049100,-85.43734100,"PRIMARIA MULTIGRADO, SECUNDARIA POR ENCUENTRO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR GALA DEL SOCORRO LOPEZ.,LAS BRISAS CARRETERA A LA VEGA.,12.60117600,-85.39496000,"PREESCOLAR COMUNITARIO MULTINIVEL, SECUNDARIA POR ENCUENTRO, ALFABETIZACION, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,CENTRO ESCOLAR EVARISTO GARCIA MONTANO.,CARRETERA A SAN JOSE DE LA VEGA.,12.66777500,-85.31603300,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
